,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.177119031,0.156442769,0.133995888,0.104923464,0.087902673,0.074308887,0.058259082,0.049748686,0.039924606,0.029529358,0.022732465,0.018391592,0.014736121,0.009538497,0.008110578,0.005483208,0.003598355,0.002570254,0.001256568,0.000913868,0.0003427,0.000114233,5.71E-05
2,0.180164631,0.155005311,0.130111524,0.105682422,0.092339352,0.074614976,0.060342539,0.048327138,0.037772172,0.030337228,0.022902284,0.018786511,0.013807754,0.010886883,0.00677111,0.004978757,0.003451938,0.001925119,0.000663834,0.000597451,0.000398301,0.000132767,0
3,0.175809494,0.147830871,0.13242691,0.104919837,0.093995599,0.077648538,0.060279786,0.047626533,0.04126061,0.031515247,0.024127633,0.018861993,0.015561144,0.009823955,0.006680289,0.00385099,0.003065074,0.002200566,0.001650424,0.00047155,0.000392958,0,0
4,0.175823124,0.15648928,0.120022971,0.106144717,0.093127871,0.078771057,0.061255743,0.054364472,0.037136294,0.031393568,0.023353752,0.018568147,0.012921133,0.010719755,0.007369832,0.004977029,0.003349923,0.001722818,0.001052833,0.000765697,0.000287136,0.000382848,0
5,0.170630469,0.156046668,0.133273502,0.112631815,0.085259143,0.073928652,0.06405654,0.04947274,0.036683868,0.028045771,0.023782814,0.020192955,0.015593449,0.010993942,0.007964999,0.004262957,0.003253309,0.001907112,0.000785282,0.000673098,0.000448732,0.000112183,0
6,0.184797207,0.151087832,0.132420091,0.103545528,0.093473006,0.07708837,0.05452592,0.051437013,0.04069299,0.030486167,0.021488047,0.015847435,0.012087027,0.010744024,0.007789417,0.00456621,0.003223207,0.002014504,0.001477303,0.000671501,0.000268601,0.0001343,0.0001343
7,0.186365949,0.150245888,0.130235713,0.106155672,0.087162964,0.075970833,0.057826013,0.047312193,0.039511616,0.029506529,0.024927929,0.02034933,0.014583687,0.011700865,0.006274377,0.004409022,0.002882822,0.002034933,0.001356622,0.000847889,0.000339156,0,0
8,0.174959217,0.160685155,0.126223491,0.109502447,0.091557912,0.072185971,0.060154976,0.051182708,0.036704731,0.031810767,0.024265905,0.01814845,0.012642741,0.01182708,0.007544861,0.003466558,0.002854812,0.001631321,0.001835237,0.000203915,0.000611746,0,0
9,0.1781639,0.147821577,0.117997925,0.107105809,0.094657676,0.078838174,0.059906639,0.056794606,0.03656639,0.033195021,0.026192946,0.019450207,0.015041494,0.008558091,0.00596473,0.004149378,0.002593361,0.002852697,0.002334025,0.001037344,0.000778008,0,0
10,0.166994751,0.145341207,0.135170604,0.103018373,0.083661417,0.081364829,0.067585302,0.052493438,0.038713911,0.035104987,0.020669291,0.019685039,0.017388451,0.01148294,0.007217848,0.00492126,0.002952756,0.00328084,0.001968504,0.000984252,0,0,0
11,0.18847487,0.151213172,0.120017331,0.105285962,0.096620451,0.064124783,0.058492201,0.053292894,0.043760832,0.035528596,0.026863085,0.012131716,0.014731369,0.01169844,0.005199307,0.005199307,0.005199307,0.001299827,0,0.000433276,0.000433276,0,0
12,0.188300836,0.153203343,0.129805014,0.108635097,0.084679666,0.072423398,0.06183844,0.047910864,0.040668524,0.030083565,0.022841226,0.013370474,0.012256267,0.012256267,0.006128134,0.006128134,0.005571031,0.001671309,0.002228412,0,0,0,0
13,0.197574893,0.153352354,0.129814551,0.087731812,0.088445078,0.079172611,0.066333809,0.035663338,0.047075606,0.036376605,0.017831669,0.015691869,0.016405136,0.012838802,0.004279601,0.004992867,0.001426534,0.003566334,0.000713267,0.000713267,0,0,0
14,0.159728945,0.150048403,0.122942885,0.114230397,0.101645692,0.076476283,0.060019361,0.044530494,0.041626331,0.050338819,0.029041626,0.008712488,0.014520813,0.007744434,0.010648596,0.000968054,0.001936108,0.001936108,0.000968054,0.000968054,0.000968054,0,0
